DlangUI log file
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-02 20:41:15.847 D  registerFont(Cursive,Microsoft Yi Baiti)
2026-03-02 20:41:15.847 D  registerFont(Serif,MingLiU-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Serif,MingLiU-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Serif,PMingLiU-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Serif,PMingLiU-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Serif,MingLiU_HKSCS-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Serif,MingLiU_HKSCS-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Serif,MingLiU_MSCS-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Serif,MingLiU_MSCS-ExtB)
2026-03-02 20:41:15.847 D  registerFont(Cursive,Mongolian Baiti)
2026-03-02 20:41:15.847 D  registerFont(MonoSpace,MS Gothic)
2026-03-02 20:41:15.847 D  registerFont(MonoSpace,MS Gothic)
2026-03-02 20:41:15.847 D  registerFont(MonoSpace,MS Gothic)
2026-03-02 20:41:15.847 D  registerFont(MonoSpace,MS Gothic)
2026-03-02 20:41:15.847 D  registerFont(MonoSpace,MS Gothic)
2026-03-02 20:41:15.847 D  registerFont(MonoSpace,MS Gothic)
2026-03-02 20:41:15.847 D  registerFont(MonoSpace,MS Gothic)
2026-03-02 20:41:15.847 D  registerFont(SansSerif,MS UI Gothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS UI Gothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS UI Gothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS UI Gothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS UI Gothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS UI Gothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS UI Gothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS PGothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS PGothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS PGothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS PGothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS PGothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS PGothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MS PGothic)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,MV Boli)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,Myanmar Text)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,Nirmala UI)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,Nirmala UI Semilight)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,Nirmala Text)
2026-03-02 20:41:15.848 D  registerFont(SansSerif,Nirmala Text Semilight)
2026-03-02 20:41:15.848 D  registerFont(Serif,Palatino Linotype)
2026-03-02 20:41:15.848 D  registerFont(Serif,Palatino Linotype)
2026-03-02 20:41:15.848 D  registerFont(Serif,Palatino Linotype)
2026-03-02 20:41:15.848 D  registerFont(Serif,Palatino Linotype)
2026-03-02 20:41:15.848 D  registerFont(Serif,Palatino Linotype)
2026-03-02 20:41:15.848 D  registerFont(Serif,Palatino Linotype)
2026-03-02 20:41:15.848 D  registerFont(Serif,Palatino Linotype)
